Round,Average_Accuracy,Client1,Client2
1,41.825,42.089999999999996,41.56
2,45.275,44.83,45.72
3,47.2,45.879999999999995,48.52
4,47.91,45.92,49.9
5,49.17,46.29,52.05
6,48.47,46.83,50.11
7,49.055,46.9,51.21
8,50.295,48.38,52.21
9,49.43,48.07,50.79
10,50.11,48.83,51.39
11,50.385000000000005,48.19,52.580000000000005
12,50.059999999999995,48.559999999999995,51.559999999999995
13,50.585,48.67,52.5
14,50.32,48.61,52.03
15,50.29,48.14,52.44
16,50.879999999999995,48.5,53.26
17,49.455,47.589999999999996,51.32
18,51.18000000000001,48.85,53.510000000000005
19,50.78,48.620000000000005,52.94
20,51.785,49.46,54.11
21,51.09,49.53,52.65
22,52.135,50.61,53.66
23,52.215,49.89,54.54
24,52.465,51.53,53.400000000000006
25,51.655,49.75,53.559999999999995
26,51.88,49.87,53.89000000000001
27,51.2,49.8,52.6
28,51.275,50.019999999999996,52.53
29,52.019999999999996,49.61,54.43
30,51.135,49.33,52.94
31,52.355000000000004,51.470000000000006,53.239999999999995
32,51.635,50.13999999999999,53.13
33,51.724999999999994,49.99,53.459999999999994
34,51.56999999999999,51.519999999999996,51.62
35,51.835,49.68,53.99
36,51.525,50.51,52.54
37,52.455,51.82,53.09
38,51.095,50.64999999999999,51.54
39,51.63,50.17,53.09
40,52.385,51.35999999999999,53.410000000000004
41,53.04,51.44,54.64
42,53.31,51.31,55.31
43,53.144999999999996,50.849999999999994,55.44
44,52.33500000000001,51.09,53.580000000000005
45,53.040000000000006,51.970000000000006,54.11
46,52.599999999999994,50.92,54.279999999999994
47,52.099999999999994,51.23,52.96999999999999
48,52.32,50.51,54.13
49,53.11,50.870000000000005,55.35
50,52.355000000000004,51.09,53.620000000000005
